Sector,Facility Name,Facility Type,Dependency 1,Dependency 2,Dependency 3,External Sector Dependencies,Unique Dependencies,CoreFacility,SectorAppeal,PhysicalHealth,FinancialHealth,NetworkHealth,Facility ID
Chemical,Manufacturing Plant,Production,Energy,Water,Agriculture,5,7,FALSE,50,1,2,1,Chemical_Production
Chemical,Warehouse,Transmission,Transport,Water,Manufacturing,,,,,2,2,2,Chemical_Transmission
Chemical,Transportation Infrastructure,Distribution,Government,Defense,Transport,,,,,2,2,2,Chemical_Distribution
Commercial,Outlet Mall,Production,Agriculture,Healthcare,Emergency,8,8,FALSE,70,2,3,2,Commercial_Production
Commercial,Advertising,Transmission,Information,Energy,Water,,,,,2,3,2,Commercial_Transmission
Commercial,Payment System,Distribution,Financial,Information,Government,,,,,2,3,2,Commercial_Distribution
Communications,Television Studio,Production,Information,Energy,Government,15,6,TRUE,90,2,2,3,Communications_Production
Communications,Broadcast Tower,Transmission,Manufacturing,Information,Energy,,,,,2,2,2,Communications_Transmission
Communications,Cable Provider,Distribution,Commercial,Financial,Government,,,,,2,3,2,Communications_Distribution
Manufacturing,Fabrication Plant,Production,Chemical,Energy,Nuclear,13,7,FALSE,70,2,2,2,Manufacturing_Production
Manufacturing,Warehouses,Transmission,Water,Dams,Transport,,,,,2,3,2,Manufacturing_Transmission
Manufacturing,Transportation Infrastructure,Distribution,Transport,Communications,Energy,,,,,2,2,3,Manufacturing_Distribution
Dams,Resevoir,Production,Water,Agriculture,Government,4,9,FALSE,50,3,2,2,Dams_Production
Dams,Dam,Transmission,Defense,Manufacturing,Information,,,,,3,1,2,Dams_Transmission
Dams,Transmission Lines,Distribution,Energy,Transport,Communications,,,,,3,2,2,Dams_Distribution
Defense,Munitions Plant,Production,Nuclear,Manufacturing,Chemical,3,9,FALSE,20,3,3,2,Defense_Production
Defense,Transportation Infrastructure,Transmission,Transport,Water,Commercial,,,,,3,3,1,Defense_Transmission
Defense,Defense Contractor,Distribution,Financial,Information,Energy,,,,,3,3,2,Defense_Distribution
Emergency,Police Station,Production,Communications,Government,Defense,6,7,FALSE,50,2,2,2,Emergency_Production
Emergency,Squad Vehicles,Transmission,Transport,Healthcare,Commercial,,,,,2,2,2,Emergency_Transmission
Emergency,Dispatch Operations,Distribution,Communications,Information,Healthcare,,,,,3,2,2,Emergency_Distribution
Energy,Power Plant,Production,Manufacturing,Transport,Water,18,8,TRUE,100,2,2,2,Energy_Production
Energy,Transmissions Lines,Transmission,Nuclear,Dams,Manufacturing,,,,,2,2,2,Energy_Transmission
Energy,Electric Utility Provider,Distribution,Information,Government,Transport,,,,,2,2,2,Energy_Distribution
Financial,Federal Reserve Bank,Production,Government,Information,Communications,6,6,FALSE,60,1,3,2,Financial_Production
Financial,Community Bank,Transmission,Information,Emergency,Government,,,,,2,3,2,Financial_Transmission
Financial,ATMs,Distribution,Information,Commercial,Energy,,,,,1,3,2,Financial_Distribution
Agriculture,Farm,Production,Water,Dams,Chemical,4,9,FALSE,40,2,2,1,Agriculture_Production
Agriculture,Packaging Plant,Transmission,Energy,Manufacturing,Transport,,,,,2,2,2,Agriculture_Transmission
Agriculture,Supermarket,Distribution,Commercial,Financial,Communications,,,,,2,2,1,Agriculture_Distribution
Government,City Hall,Production,Financial,Energy,Communications,16,5,FALSE,80,3,2,2,Government_Production
Government,Information Management Networks,Transmission,Communications,Information,Energy,,,,,2,2,3,Government_Transmission
Government,City Departments,Distribution,Communications,Agriculture,Financial,,,,,3,2,3,Government_Distribution
Healthcare,Hospital,Production,Energy,Water,Chemical,3,8,FALSE,60,2,2,1,Healthcare_Production
Healthcare,Ambulances,Transmission,Transport,Government,Communications,,,,,1,2,2,Healthcare_Transmission
Healthcare ,Waiting Rooms,Distribution,Communications,Commercial,Information,,,,,1,2,2,Healthcare _Distribution
Information,Cloud Datacenter,Production,Energy,Communications,Manufacturing,18,5,TRUE,100,2,2,3,Information_Production
Information,Network Infrastructure,Transmission,Energy,Communications,Government,,,,,2,2,3,Information_Transmission
Information,Internet Service Provider,Distribution,Commercial,Energy,Communications,,,,,1,2,3,Information_Distribution
Nuclear,Nuclear Reactor Facility,Production,Water,Manufacturing,Chemical,3,7,FALSE,10,3,2,2,Nuclear_Production
Nuclear,Nuclear Facility Control Room,Transmission,Information,Communications,Manufacturing,,,,,3,2,2,Nuclear_Transmission
Nuclear,Nuclear Material Depot,Distribution,Transport,Government,Manufacturing,,,,,3,2,2,Nuclear_Distribution
Transport,Airport,Production,Government,Emergency,Information,12,6,FALSE,80,2,1,2,Transport_Production
Transport,Airplane,Transmission,Information,Emergency,Manufacturing,,,,,2,2,2,Transport_Transmission
Transport,Terminal,Distribution,Information,Commercial,Energy,,,,,2,2,2,Transport_Distribution
Water,Water Treatment Facility,Production,Government,Emergency,Dams,8,6,TRUE,90,2,2,2,Water_Production
Water,Water Pumping Station,Transmission,Government,Emergency,Manufacturing,,,,,2,2,2,Water_Transmission
Water,Water Utility,Distribution,Information,Government,Energy,,,,,2,2,2,Water_Distribution
